company_code,as_of,total_score,prosperity_level,trend,summary,key_drivers,risk_factors,_status,demand_score,demand_reason,supply_competition_score,supply_competition_reason,policy_environment_score,policy_environment_reason,profit_growth_score,profit_growth_reason
603501,2021,86,高景气,上行,2021年全球缺芯与汽车智能化共振，公司作为CIS及模拟/显示芯片设计龙头，业务景气度高且趋势向上。,"全球半导体缺芯与晶圆产能紧张, 汽车电子/新能源车智能化带动CIS量价齐升","智能手机等消费电子需求不及预期, 晶圆代工涨价与行业竞争加剧压缩毛利率",success,23,全球缺芯背景下，图像传感器（尤其汽车、安防、多摄手机）及显示、模拟芯片需求旺盛，新能源车智能化拉动车载CIS用量提升，下游订单能见度与开工率预期处于高位。,20,晶圆代工产能紧张，具备规模与供应链关系的设计厂商更易获得产能；CIS领域虽面临索尼、三星及国内同业竞争，但需求溢出与产品结构升级支撑公司议价能力与份额。,21,“十四五”强调半导体自主可控，产业政策与财税支持力度大；新能源车、双碳目标带动汽车电子长期需求。外部科技摩擦与出口管制构成扰动，但整体政策环境有利。,22,产品结构向高毛利的车载CIS、高端显示与模拟芯片升级，叠加缺芯下价格与产能红利，未来1-2年收入与利润高增长预期较强；需关注晶圆涨价对毛利率的侵蚀。
603392,2021,86,高景气,上行,2021年公司处于国产二价HPV疫苗放量期，需求旺盛且盈利高增，业务景气度高企并预计继续上行。,"国产二价HPV疫苗先发优势与供不应求, HPV疫苗渗透率提升和接种需求释放, 诊断试剂受新冠检测与常规诊疗恢复支撑","HPV疫苗竞争加剧及后续国产竞品上市, 医药集采常态化对诊断试剂盈利形成压力, 疫苗研发审批进度或疫情波动不及预期",success,24,HPV疫苗认知度快速提升，适龄女性接种需求旺盛，国产二价HPV疫苗供不应求；诊断试剂同时受益于新冠检测需求与常规诊疗恢复，需求端景气度高。,21,国产二价HPV疫苗具备先发与独家供应优势，议价能力较强；但默沙东四/九价疫苗占据高端市场，后续国产竞品临近，诊断试剂领域竞争亦较充分。,18,疫苗创新、国产替代和疾病预防受政策鼓励，但医药集采常态化对诊断试剂价格形成压力，疫苗行业监管严格，政策环境整体偏正面但非全面利好。,23,高毛利HPV疫苗放量有望带动收入利润高速增长，规模效应与产品结构升级提升盈利能力；在研管线提供中长期成长空间，盈利预期强劲。
002049,2021,86,高景气,上行,2021年公司特种集成电路与智能安全芯片双轮驱动，处于半导体高景气与国产替代共振期，未来1-2年景气度预期高。,"国防信息化和“十四五”装备放量拉动特种集成电路需求, 全球缺芯与国产替代加速提升半导体设计企业景气度, 5G、物联网、eSIM和车规应用扩展智能安全芯片成长空间","特种集成电路订单节奏波动和客户集中度风险, 智能安全芯片竞争加剧可能压制价格和毛利率, 代工产能紧张、原材料涨价及外部供应链扰动",success,23,特种集成电路受益国防信息化和“十四五”装备放量，需求确定性强；智能安全芯片受5G、物联网、eSIM、车规等应用拉动，在全球缺芯背景下需求旺盛；石英晶体频率器件需求相对平稳。,20,特种集成电路技术、资质和客户壁垒高，公司龙头地位稳固，议价能力较强；智能安全芯片竞争者较多，但国产替代和产品升级支撑份额；行业性代工产能紧张构成供给约束。,22,半导体自主可控、国产替代、信创和国防现代化受政策强力支持，“十四五”开局加大科技投入；外部科技摩擦强化国产替代逻辑。限电限产和供应链扰动形成一定负面扰动。,21,高毛利特种集成电路占比提升，缺芯环境下产能利用率和产品价格环境有利，利润增速与成长确定性较高；但代工涨价、研发投入和智能安全芯片竞争可能对部分毛利率形成压力。
600309,2021,85,高景气,上行,2021年万华化学处于化工高景气与新材料成长共振期，盈利预期强劲，但需关注地产与能耗双控扰动。,"全球疫后复苏与出口强劲带动聚氨酯及石化产品需求, MDI寡头格局与公司成本优势支撑盈利, 双碳与新能源产业链扩张打开新材料成长空间","地产融资收紧与信用风险拖累聚氨酯下游需求, 能耗双控、限电限产及原材料价格大幅波动, 新增产能投放与海外装置恢复可能压制产品价格",success,21,疫后全球复苏与出口强势带动聚氨酯、石化产品需求，家电、汽车、冷链等支撑MDI；但国内地产融资收紧对建筑保温等下游预期形成压制。,22,MDI全球寡头格局稳固，公司成本与技术优势突出，新增产能有序，议价能力较强；石化与新材料领域竞争较激烈，但一体化优势明显。,20,双碳目标下化工新材料与新能源材料获政策支持，能耗双控抬升高耗能行业门槛利好龙头；但限电限产与环保约束对生产节奏有扰动。,22,大宗商品涨价与MDI价差改善推动盈利弹性，石化与新材料板块提供成长增量；原材料价格高企和基数效应可能使增速边际放缓。
600111,2021,85,高景气,上行,2021年北方稀土处于新能源需求拉动、供给受控、政策支持与价格上行共振的高景气阶段，未来1-2年景气预期向上。,"新能源车、风电、节能电机等高端磁材需求快速增长拉动镨钕等稀土品种需求, 双碳目标与稀土战略资源政策强化行业整合和龙头议价能力, 稀土价格中枢上行带来量价齐升与盈利弹性","稀土价格大幅波动或上涨过快导致下游成本承压与需求反噬, 配额释放、非法产能或进口供给超预期改变供需格局, 能耗双控、环保限产及全球缺芯等外部扰动影响终端产销",success,22,双碳驱动下新能源车、风电、变频空调、节能电机等对高性能钕铁硼及镨钕需求高速增长，稀土磁材订单与价格趋势向上；传统轻稀土下游需求相对平稳。,21,稀土开采冶炼分离受总量控制，行业整合持续推进，公司作为轻稀土龙头在配额和资源端优势明显、议价能力增强；但配额有序释放及下游磁材竞争仍可能压制单环节超额利润。,22,稀土被明确定位为战略资源，双碳与新能源产业链政策形成强支撑，行业规范化和整合政策利好龙头；环保与能耗双控可能带来阶段性供给扰动。,20,稀土价格中枢上移、主要产品量价齐升，公司盈利弹性较大，未来1-2年成长确定性较好；但关联交易定价、原料成本波动和稀土价格周期属性影响利润稳定性。
002821,2021,85,高景气,上行,2021年公司处于小分子CDMO高景气赛道，需求扩张、订单饱满与产能释放共振，未来1-2年景气度预计上行。,"全球创新药外包向中国转移，小分子CDMO需求旺盛, 公司龙头地位、客户粘性与产能扩张支撑订单兑现, 疫情相关药物研发生产带来额外需求催化","国内CDMO产能集中扩张导致竞争加剧、价格压力上升, 能耗双控、环保安全监管及限电限产影响生产交付, 汇率波动、中美供应链摩擦及创新药投融资波动",success,24,全球创新药研发投入与外包渗透率持续提升，中国小分子CDMO承接产业转移趋势明确；疫情相关药物研发与生产带来额外需求，公司订单能见度和产能利用率预计维持高位。,20,国内CDMO行业扩产加快、竞争主体增多，但公司作为小分子CDMO龙头，具备客户粘性、技术平台和交付记录，议价能力较强，份额有望继续提升。,18,集采常态化对仿制药形成压力，但利好创新药及研发生产外包；双碳与能耗双控对医药制造环节带来环保、限电扰动，中美供应链摩擦亦构成外部不确定性。,23,高产能利用率、规模效应和订单结构优化有望支撑毛利率稳定或改善；新兴业务拓展提供增量，未来1-2年利润高增长确定性与成长空间较突出。
600809,2021,85,高景气,上行,2021年山西汾酒处于消费升级、全国化扩张与产品结构升级共振期，业务景气度预期高企且趋势上行。,"白酒消费升级与次高端扩容, 青花系列放量及全国化渠道扩张, 产品结构优化带动盈利能力提升","疫情反复影响消费场景与动销, 次高端竞争加剧及费用投放上升, 消费税改革预期与宏观消费偏弱",success,23,白酒消费升级与次高端价格带扩容趋势明确，汾酒全国化渠道扩张推进，青花系列与玻汾需求较强；疫情反复对宴席等消费场景有扰动，但整体需求韧性和成长性突出。,20,白酒行业总量趋稳、集中度持续提升，汾酒作为清香型龙头具备品牌与品类优势；但次高端价格带竞争激烈，头部酒企加大市场投入，公司需持续提升渠道与终端掌控力。,19,2021年产业政策未对白酒形成直接压制，山西国企改革与消费促进政策提供一定支撑；但疫情反复、消费税改革预期及宏观消费恢复偏弱构成外部扰动。,23,产品结构升级与吨价提升有望驱动毛利率、净利率改善，全国化扩张带来较强成长空间，盈利预期积极；需关注费用投放加大和竞争加剧对利润率的潜在侵蚀。
002179,2021,85,高景气,上行,2021年公司处于军工装备放量与新能源高景气共振期，高端连接器需求向上，景气度整体处于高景气区间。,"“十四五”国防装备放量带动军工连接器需求, 新能源汽车与新能源产业链高速扩张拉动高压、高速连接器需求","铜等原材料价格大幅上涨侵蚀毛利率, 能耗双控、限电限产及全球缺芯扰动供应链交付",success,23,2021年正值“十四五”开局，国防装备放量、新能源车渗透率快速提升，公司高端光、电、流体连接器需求旺盛；通信与工业需求相对稳健，整体订单与销量趋势向上。,21,公司在军工及高端连接器领域具备领先地位和较高认证壁垒，市场份额稳固；但中低端连接器竞争较激烈，原材料涨价与限电限产对中游制造供给形成一定扰动。,22,国防现代化、国产替代、“双碳”与新能源汽车产业政策形成强力支撑；同时大宗商品涨价、能耗双控和全球缺芯对供应链带来阶段性外部压力。,19,高附加值军品和新能源连接器放量有望带动收入与利润较快增长，规模效应和产品结构优化支撑盈利；但铜等原材料价格大幅上涨、限电限产可能压制短期毛利率。
601012,2021,85,高景气,上行,在双碳与全球光伏高景气驱动下，公司作为一体化龙头需求与政策红利突出，但供给扩张和原材料涨价使盈利波动加大，整体处于高景气、趋势上行。,"双碳目标与全球能源转型推动光伏装机高增长, 整县推进与分布式光伏政策打开国内需求空间, 单晶硅片与组件龙头的一体化成本、规模和品牌优势, 绿氢、储能等新业务布局提供中长期成长想象","硅料等原材料价格暴涨导致中游盈利承压, 行业产能快速扩张引发硅片、组件价格战, 能耗双控、限电限产扰动生产与供应链, 海外贸易壁垒与政策变化影响出口预期, 光伏技术迭代加快带来存量产能与竞争格局不确定性",success,24,双碳目标与全球能源转型推动光伏装机高增长，国内整县推进、海外出口强劲，单晶硅片与组件需求旺盛；但硅料涨价和组件价格上行可能阶段性抑制部分项目需求。,17,硅片和组件环节产能扩张较快，新进入者增多，价格竞争与份额争夺加剧；公司凭借一体化、规模、成本与品牌优势仍具较强竞争力，但供给压力上升。,25,2021年处于“十四五”开局与双碳主线强化期，可再生能源政策、整县屋顶分布式光伏、绿色金融等支持力度大，行业外部环境总体非常有利；能耗双控与海外贸易壁垒构成扰动但不改方向。,19,装机增长带动出货与收入高增，龙头成长确定性较强；但硅料等原材料价格大幅上涨挤压中游毛利率，限电限产与供应链博弈增加盈利波动，利润增速预期强但利润率承压。
603986,2021,85,高景气,上行,2021年全球缺芯与国产替代双轮驱动，公司存储与MCU量价齐升，处于历史高位的高景气上行阶段。,"全球半导体缺芯，NOR Flash 与 MCU 供不应求、价格上行, MCU 国产替代加速，工业与汽车客户加速导入, 半导体自主可控政策与国产化需求持续强化","消费电子需求边际走弱，后续库存调整风险, 晶圆代工与封测涨价侵蚀毛利率, 传感器业务竞争激烈、毛利率下行，DRAM 新业务拓展存在不确定性",success,24,全球'缺芯'贯穿全年，NOR Flash 因 TWS、IoT、汽车电子、5G 基站等需求旺盛而供不应求，价格持续上调、交期拉长；MCU（GD32 系列）在海外大厂缺货背景下国产替代需求爆发，工业与汽车客户加速导入；公司存储与MCU两条主线订单饱满、量价齐升。仅消费电子（手机等）下半年需求边际走弱构成小幅扰动。,19,晶圆代工与封测产能全面紧张，供给端形成天然约束，行业整体处于卖方市场，公司议价能力与客户黏性显著提升；MCU 领域借海外龙头缺货快速抢占份额。但 NOR Flash 仍面临华邦、旺宏等竞争，DRAM 需直面三星、美光、南亚等巨头，MCU 亦面临国内同业扩产追赶，竞争格局并非全面垄断。,22,半导体自主可控上升为国家战略，'十四五'规划、大基金及产业链扶持政策持续加码，中美科技摩擦进一步强化国产替代逻辑，公司作为国产存储与MCU龙头显著受益。能耗双控与限电限产对上游供应链带来阶段性扰动，但不改变产业政策向上的大方向。,20,产品提价与高毛利 MCU 占比提升共同驱动收入与毛利率向上，规模效应下费用率摊薄，利润成长确定性较高。但晶圆代工、封测价格同步上涨挤压部分毛利空间，传感器（触控、指纹）业务竞争激烈、毛利率承压，DRAM 新品尚处爬坡期，盈利结构改善存在不均衡。
300122,2021,84,高景气,上行,2021年智飞生物受益于HPV疫苗供不应求与新冠疫苗获批，业务景气度高企，预期未来1-2年业绩高增长，但需关注竞争加剧与新冠疫苗需求持续性。,"HPV疫苗独家代理放量，需求持续供不应求, 新冠疫苗获批紧急使用并获政府订单, 自主疫苗产品线恢复及结核、流感等疫苗推广","国内HPV疫苗竞争加剧及潜在国产九价上市冲击, 新冠疫苗需求、定价及持续时间不确定, 代理协议与默沙东产能供应风险, 医药集采常态化及疫苗监管趋严",success,23,HPV疫苗需求旺盛且供不应求，新冠疫苗获批紧急使用带来显著增量，常规疫苗随疫情受控逐步恢复，下游需求整体强劲。,19,默沙东HPV疫苗独家代理地位稳固，但国内二价HPV疫苗上市加剧竞争，新冠疫苗赛道参与者众多，代理业务依赖供应商产能。,20,疫苗行业受国家战略支持，新冠疫苗接种政策推动力强，“十四五”医药规划利好，但医药集采常态化与监管趋严带来一定压力。,22,高毛利自主产品与代理HPV疫苗持续放量，新冠疫苗贡献业绩弹性，未来1-2年利润高增长预期较强，但新冠疫苗定价与持续性存不确定性。
688008,2021,84,高景气,上行,2021年公司处于云计算/AI互连芯片高景气赛道，DDR5升级周期与国产替代共振，未来1-2年成长预期强劲。,"全球云厂商资本开支回暖及AI基础设施需求, DDR5内存接口芯片升级带来量价齐升, PCIe Retimer等互连新品拓展","DDR5渗透节奏不及预期, 国际竞争对手加剧及代工产能紧张, 中美科技摩擦与出口管制不确定性",success,23,全球云计算与AI基础设施资本开支回暖，服务器平台向DDR5升级及PCIe Retimer等互连芯片需求预期强劲，缺芯背景下下游拉货意愿强。,19,互连芯片技术壁垒高，公司在内存在接口芯片领域全球份额领先，但DDR5世代面临Rambus、Renesas等竞争，且晶圆代工产能紧张。,22,国内半导体自主可控、数字经济和AI基础设施获政策大力支持，但中美科技摩擦与供应链不确定性构成外部扰动。,20,DDR5单机价值量提升与新产品放量有望驱动收入利润加速，高毛利产品结构支撑盈利，但研发投入和竞争可能压制短期利润率。
002414,2021,84,高景气,上行,2021年公司红外军工业务处于十四五放量期，需求与政策共振，景气度高，但民用高基数和竞争加剧形成局部扰动。,"十四五军品采购放量, 红外芯片自主可控与完整装备系统升级, 非测温民用红外应用持续拓展","军品交付节奏与订单不确定性, 民用红外高基数回落与价格竞争, 原材料涨价及研发费用压力, 国际制裁与出口管制风险",success,22,十四五国防装备采购放量，红外热成像在夜视、精确制导、无人机等军事应用需求旺盛；民用测温需求从疫情峰值回落，但电力、安防、工业检测等非测温应用持续拓展，整体需求预期上行。,20,红外焦平面探测器及完整装备系统技术壁垒高，公司具备从芯片到整机再到武器系统的全产业链布局和军工资质，议价能力较强；但非制冷红外领域竞争对手增多，民用市场面临价格竞争。,22,国防现代化、自主可控和半导体/红外芯片国产替代方向获政策强力支持，军费向装备倾斜；国际出口管制与制裁风险带来一定不确定性，但强化国内替代逻辑。,20,军品占比提升和完整装备系统总体业务有望改善收入结构、支撑毛利率；但疫情高基数后民用红外回落、原材料涨价及研发投入加大可能拖累短期利润弹性。
601899,2021,83,高景气,上行,2021年公司处于铜金高景气与新能源金属需求扩张共振期，业务景气度预期高且趋势向上。,"铜价高位与新能源电气化需求, 公司铜金矿产能扩张与低成本优势, 锂等新能源金属布局带来的成长预期","全球流动性收紧与美元走强压制金铜价格, 能耗双控、环保监管及海外项目运营风险, 房地产下行拖累基本金属需求, 大宗商品价格高波动影响盈利确定性",success,23,疫后全球复苏与双碳驱动电气化、新能源投资，铜需求预期强劲；锂需求高速增长；金价虽高位震荡，但通胀与避险需求仍提供支撑。,20,全球铜矿资本开支长期不足，供给偏紧；公司具备低成本矿山运营与资源并购能力，铜金产量成长确定性较强，矿端议价能力较好。,18,双碳与新能源产业政策利好铜、锂等关键金属，资源安全战略提升上游地位；但能耗双控、环保监管及海外矿业政策与社区风险构成扰动。,22,铜金价格处于高位，叠加公司产能扩张和成本控制，盈利预期显著改善；锂等新能源金属布局提供成长弹性，但大宗价格波动影响确定性。
300059,2021,83,高景气,上行,2021年公司处于资本市场活跃与居民财富入市共振期，互联网券商和基金代销龙头地位强化，业务景气度预期高企且趋势向上。,"居民资产配置向权益和基金迁移, 互联网券商与基金代销市占率提升, 资本市场改革与交投活跃","市场交投与基金发行热度降温, 费率下行与行业竞争加剧, 金融科技及数据监管趋严",success,22,2021年居民财富向权益类和基金产品迁移趋势明显，A股交投活跃，基金发行热度较高，线上证券交易与基金第三方代销需求旺盛，公司核心业务需求端保持高景气。,20,公司为互联网券商与基金代销龙头，流量、低佣金与线上运营优势突出，市场份额持续提升；但传统券商、银行及互联网平台竞争加剧，佣金与代销费率存在下行压力。,19,资本市场改革、注册制推进和财富管理转型为行业提供政策支持；同时金融科技监管、数据安全与反垄断要求趋严，合规成本与业务边界面临一定不确定性。,22,证券业务与基金代销规模效应显著，高毛利业务占比提升，利润高增预期较强；但盈利与市场交投和基金发行热度高度相关，业绩弹性较大。
