company_code,total_score,match_level,summary,policy_keywords,_status,policy_direction_score,policy_direction_reason,tech_content_score,tech_content_reason,industry_chain_score,industry_chain_reason,growth_prospect_score,growth_prospect_reason
600584,95,高度契合,公司主营业务为集成电路封装测试，属于国家产业政策优先支持的集成电路重点环节，政策契合度高。,"集成电路, 封装测试, 新兴支柱产业, 半导体",success,25,公司主营芯片封装测试及成品制造解决方案，直接属于国家产业政策明确优先支持的集成电路产业方向，政策文本明确将封装测试列为集成电路重点环节。,24,公司业务涵盖微系统集成、设计仿真、晶圆中测、芯片及器件封装、成品测试、产品认证等，并涉及先进封装，技术含量较高，匹配政策对集成电路关键核心技术的支持导向。,23,封装测试是集成电路产业链中的关键后道环节，政策将集成电路设计、制造、封装测试并列支持，公司处于国家重点培育产业链的重要位置。,23,集成电路被列为新兴支柱产业和前沿领域国家重大科技项目方向，先进封装需求持续提升，公司业务具备较强的政策红利和长期发展空间。
600118,95,高度契合,公司主营卫星研制与卫星应用，直接命中航空航天新兴支柱产业及卫星互联网未来产业方向，处于产业链核心环节，政策契合度极高。,"航空航天, 商业航天, 卫星应用, 卫星互联网, 空天科技, 战略性全局性产业链",success,25,公司主营卫星及宇航制造、卫星应用，直接对应“十四五”规划纲要明确列为新兴支柱产业的航空航天方向，政策文本明确支持商业航天与卫星应用，方向完全一致且属优先支持领域。,24,卫星研发设计制造属于高技术含量核心环节，涉及航天总体设计、星载载荷、卫星应用综合信息服务，与政策强调的打造战略性全局性产业链、空天科技等关键核心技术高度吻合。,24,公司处于卫星研制与应用产业链的核心系统集成位置，是航天产业链的总体单位与关键配套供应商，在政策重点培育的航空航天先进制造业集群中占据核心地位。,22,政策同时从新兴支柱产业（商业航天、卫星应用）与未来产业（卫星互联网、深海空天开发）两端给予支持，商业航天发射场建设与卫星互联网布局将持续释放政策红利，成长空间广阔。
601985,95,高度契合,公司主营核电、风电、光伏等清洁能源发电及相关技术服务，高度契合国家新能源与核电产业政策方向。,"核电, 风电, 光伏发电, 新能源, 安全稳妥推动沿海核电建设, 多能互补的清洁能源基地, 先进电力装备",success,25,主营核电、风电、光伏发电及清洁能源投资，直接对应“新能源”重点方向中的核电、风电、光伏，并符合安全稳妥推动沿海核电建设、建设多能互补清洁能源基地等政策。,23,核电运营与技术服务属于高技术、高安全要求领域，智能输配电及控制设备制造也与先进电力装备、智能电网方向相关。,23,公司处于清洁能源发电和电力供应核心环节，是政策重点支持的能源产业链核心运营主体，并延伸至输配电设备与技术服务。,24,政策持续强调提升风电光伏规模、安全稳妥发展核电，清洁能源长期政策红利明确，业务发展空间较大。
603160,95,高度契合,公司主营集成电路芯片设计与软硬件解决方案，高度契合国家集成电路、数字经济、物联网、传感器等产业政策方向。,"集成电路, 芯片设计, 物联网, 传感器, 高端芯片, 核心电子元器件, 数字经济",success,25,主营业务为集成电路芯片设计及软硬件解决方案，直接属于“十四五”规划明确支持的集成电路、数字经济、物联网、传感器、高端芯片等产业方向。,24,公司产品涵盖指纹识别芯片、触控芯片、显示驱动、音频、安全和无线连接等，涉及高端芯片、传感器、核心电子元器件等政策强调的关键技术环节。,23,公司处于集成电路产业链中的芯片设计核心环节，属于政策重点培育的先进制造业集群和产业基础再造的关键领域。,23,国家持续支持集成电路、物联网、数字经济等方向，智能终端、物联网和汽车电子下游场景扩展，公司业务具备较大的政策红利空间。
600487,95,高度契合,公司主营业务深度契合数字经济、新能源、海洋工程及量子信息等国家产业政策重点方向，技术含量高且产业链地位核心，政策红利空间大。,"5G网络, 千兆光网, 通信设备, 光通信, 智能电网, 新能源, 海洋工程装备, 量子通信, 数字经济, 物联网, 云计算, 大数据, 工业互联网, 智能制造, 电力装备, 海上风电, 深海探测",success,24,主营业务光通信、智能电网、海洋能源、海洋通信等直接对应数字经济（5G/千兆光网、通信设备）、新能源（智能电网、海上风电）、海洋工程装备及未来产业量子信息等政策明确支持方向。,24,业务涵盖光纤预制棒、光器件、5G通信技术、智能输配电、在线能源监测、量子通信等关键核心技术环节，符合政策强调提升通信设备、核心电子元器件及前沿技术研发的要求。,23,公司在光通信产业链中具备光纤预制棒到光缆的完整核心环节，智能电网和海洋通信亦处于政策重点产业链的核心或重要配套位置。,24,政策对5G/千兆光网、新能源、海洋工程、量子信息等支持力度大，公司相关业务有望持续获得政策红利，发展前景广阔。
600703,94,高度契合,公司主营业务深度契合集成电路、半导体材料、高端芯片和新材料等国家产业政策重点方向，技术含量高、产业链地位关键，整体政策契合度很高。,"集成电路, 半导体材料, 高端芯片, 新材料, 核心电子元器件, 5G, 新能源汽车, 数字经济",success,25,公司主营化合物半导体材料与器件，直接属于集成电路、半导体材料、高端芯片、新材料等政策明确支持的新兴支柱产业方向，同时覆盖5G、光通讯、新能源汽车等应用领域。,24,公司产品涉及LED外延片/芯片、射频芯片、滤波器芯片、电力电子芯片、光通讯芯片等，属于半导体与核心电子元器件关键技术环节，技术含量高，符合政策强调的关键核心技术攻关方向。,23,公司处于半导体产业链上游材料与核心器件环节，是集成电路、光通信、射频前端、电力电子等领域的重要配套和核心供应环节，产业链地位关键。,22,在自主可控、国产替代、5G建设、新能源汽车、光通讯和新能源等政策驱动下，化合物半导体需求持续扩张；LED传统业务相对成熟，但射频、滤波器、电力电子、光通讯等新兴业务政策红利空间较大。
000063,94,高度契合,公司主营业务高度契合国家数字经济、5G、云计算等产业政策方向，作为通信设备核心供应商，技术实力强，发展前景广阔。,"5G, 数字产业化, 通信设备, 云计算, 数据中心, 工业互联网, 人工智能, 新能源",success,24,主营业务涵盖通信设备、5G、云计算、数据中心等，直接属于数字经济重点产业和数字产业化方向，同时涉及新能源，符合政策明确支持方向。,23,公司聚焦5G、核心网、数据中心交换机、分布式数据库等关键技术，涉及高端芯片、操作系统等，技术含量高，符合政策对关键核心技术的强调。,24,作为全球主流通信设备商，处于通信产业链核心环节，是5G网络建设和数字基础设施的关键供应商，产业链地位核心。,23,政策持续加大5G、千兆光网、数据中心等建设力度，公司作为核心供应商将直接受益，同时布局新能源，发展前景广阔。
688008,94,高度契合,公司主营互连类芯片契合集成电路与AI算力基础设施两大政策主线，属高度契合国家产业政策的核心标的。,"集成电路, 芯片设计, 高端芯片, 核心电子元器件, 云计算, 人工智能, 算力基础设施, 产业基础再造",success,25,主营的互连类芯片属于集成电路设计范畴，直接落在“十四五”规划明确列为前沿领域国家重大科技项目方向的集成电路产业，同时服务于云计算与AI基础设施，与数字经济、高端芯片等政策重点方向高度重合。,24,互连类芯片涉及高速接口、内存接口等高技术门槛的核心环节，契合政策强调的“高端芯片”“核心电子元器件”研发突破要求，属于集成电路产业链中技术密集、自主可控属性强的关键品类。,23,公司处于集成电路设计环节，是政策重点培育的先进制造业集群与产业基础再造工程中的核心环节，为云计算、AI算力基础设施提供关键互连支撑，产业链地位偏核心。,22,政策对集成电路、算力基础设施、人工智能持续加码，作为前沿领域重大科技项目方向与数字经济重点产业，公司业务有望持续获得政策红利与国产替代空间，发展前景良好。
300124,94,高度契合,公司主营业务高度契合国家产业政策，在高端装备制造、新能源汽车、智能制造等核心领域占据关键地位，发展前景良好。,"高端装备制造, 新能源汽车, 工业机器人, 智能制造, 工业互联网, 先进轨道交通装备, 储能, 关键零部件",success,24,主营业务覆盖通用自动化、新能源汽车、智慧电梯、轨道交通，直接对应政策明确支持的高端装备制造、新能源汽车、先进轨道交通装备、智能制造等方向。,23,产品包括PLC、伺服系统、变频器、工业机器人、CNC、新能源汽车电驱总成、电机控制器、牵引变流器等，属于政策强调的关键核心零部件和产业基础再造重点领域。,23,公司在工业自动化领域为国内龙头，在新能源汽车电驱系统和轨道交通牵引系统处于核心配套地位，属于政策重点产业链的关键环节。,24,政策对智能制造、新能源汽车、轨道交通、储能、工业互联网等方向支持力度大，公司业务契合长期发展方向，政策红利空间广阔。
601138,93,高度契合,公司主营业务高度契合数字经济、5G、云计算、工业互联网和智能制造等国家产业政策重点方向。,"5G, 云计算, 工业互联网, 智能制造, 工业机器人, 算力基础设施, 通信设备",success,24,主营通信及移动网络设备、云计算、工业互联网及机器人，直接对应数字经济、5G、云计算、工业互联网、智能制造等国家政策明确鼓励方向。,23,涉及通信网络设备、云计算系统、工业互联网平台及机器人等关键技术环节，属于政策强调的数字产业化和智能制造核心领域，但高端芯片、操作系统等基础核心技术覆盖有限。,23,处于通信设备、云计算基础设施和智能制造产业链的关键设备研发制造环节，是5G、算力、工业互联网产业生态的重要硬件支撑，但非芯片设计制造等最上游核心环节。,23,政策持续加大5G、千兆光网、算力基础设施、工业互联网和制造业数字化转型支持，公司相关业务具备较大政策红利空间。
300676,93,高度契合,公司主营基因检测与精准医学服务，同时落在生物医药支柱产业与基因技术未来产业两大政策重点方向，技术含量高、产业链地位核心，与国家产业政策高度契合。,"生物医药, 基因检测, 基因技术, 精准医学, 合成生物学, 多组学大数据, 人工智能, 生物经济, 智慧医疗",success,25,主营业务为基因检测、质谱检测与精准医学服务，直接对应“十四五”规划纲要中生物医药（基因治疗、高端医疗器械、创新药）这一新兴支柱产业方向，同时属于未来产业前瞻布局中的“基因技术：基因编辑、基因检测、合成生物学”，并与数字经济中的大数据、人工智能方向交叉，政策方向匹配度高。,24,公司掌握基因检测、质谱检测、多组学大数据与生物信息分析、多模态智能分析模型等关键技术，属于政策明确强调需深度研发与通用化应用的核心技术环节，技术含量高，且与合成生物学、AI算法等前沿方向契合。,22,公司处于基因检测与精准医学产业链的核心服务与应用环节，覆盖上游检测技术、中游多组学数据与生物信息分析、下游临床与健康管理解决方案，属于生物经济产业链中的关键节点，但部分上游测序仪器与核心试剂仍受制于外部，自主可控程度尚有提升空间。,22,生物经济做大做强、基因技术未来产业孵化加速、精准医疗与智慧医疗试点示范等政策支持力度强，叠加人口老龄化与健康管理需求上升，政策红利空间广阔；但行业受监管合规、数据安全与集采降价等因素影响，增长节奏存在不确定性。
603501,93,高度契合,公司主营芯片设计，产品涵盖图像传感器、显示及模拟解决方案，属于国家优先支持的集成电路产业核心环节，政策契合度极高。,"集成电路, 芯片设计, 图像传感器, 传感器, 高端芯片, 半导体",success,25,公司主营芯片设计，直接属于《十四五规划纲要》明确列为前沿领域国家重大科技项目方向之一的集成电路产业，且图像传感器、模拟芯片等属于政策重点支持的半导体核心领域。,23,芯片设计属于集成电路产业链中技术壁垒最高的环节之一，图像传感器解决方案涉及半导体工艺、模拟电路与数字信号处理等关键技术，符合政策对高端芯片、传感器等核心技术的强化要求。,23,公司处于集成电路产业链的上游设计环节，是政策重点培育的先进制造业集群核心组成部分，产品为各类电子系统的关键元器件，产业链地位核心。,22,集成电路被列为新兴支柱产业优先支持方向，同时受益于数字经济、人工智能、智能汽车等下游应用扩张，政策红利空间大，未来发展前景广阔。
002129,93,高度契合,公司主营光伏硅片与半导体材料，直接落在新能源与新材料/集成电路两大政策重点支持方向，产业链地位核心，与'十四五'产业政策高度契合。,"新能源, 光伏发电, 新材料, 半导体材料, 集成电路, 战略性新兴产业, 产业基础再造",success,25,主营业务同时覆盖政策明确支持的'新能源—光伏发电'与'新材料—半导体材料'两大方向，单晶硅片、光伏组件、半导体材料均属纲要鼓励类战略性新兴产业重点领域。,23,涉及大尺寸单晶硅棒/硅片、高效电池组件及半导体级硅材料的研发生产，属于光伏与集成电路产业链中技术门槛较高的关键材料环节，契合纲要强调的关键核心技术创新应用要求。,24,公司为全球光伏硅片环节的头部企业，处于光伏产业链上游核心位置，同时布局半导体材料这一政策明确要求补齐的产业基础短板，产业链地位核心。,21,光伏发电规模提升与半导体材料国产替代均为长期政策方向，政策红利空间较大；但光伏行业阶段性产能过剩与价格竞争可能对短期业绩形成扰动。
002202,92,高度契合,公司主营业务高度契合国家新能源与储能产业政策，处于风电产业链核心环节，政策支持力度大、发展前景良好。,"风电, 海上风电, 储能, 新能源, 先进电力装备",success,24,主营业务中的风机制造、风电服务、风电场开发直接属于“十四五”规划明确支持的新能源方向，政策提出大力提升风电、光伏发电规模并有序发展海上风电；储能业务也契合新型储能政策方向。,22,大型风力发电机组研发制造涉及新能源装备核心技术，属于政策鼓励的高端装备与先进电力装备环节；同时布局储能、绿色甲醇等，具备一定前沿技术关联，但并非政策最核心的集成电路、人工智能等前沿领域。,23,公司在风电产业链中处于核心位置，覆盖风机整机制造、零部件、风电场投资开发及运维服务，属于新能源政策重点支持的产业链关键环节。,23,国家对风电、海上风电和储能持续给予明确支持，政策红利空间较大，公司作为风电龙头有望受益于清洁能源基地建设、多能互补和绿色低碳转型。
002460,92,高度契合,公司主营锂资源开发、锂盐加工与锂电池制造及回收，深度嵌入新能源汽车与储能两大战略性新兴产业核心环节，与国家产业政策高度契合。,"新能源汽车, 动力电池及关键零部件, 储能, 新材料, 绿色制造, 资源再生利用, 战略性新兴产业",success,25,公司主营锂资源开发、锂盐深加工、金属锂冶炼及锂电池制造，直接对应“十四五”规划明确的战略性新兴产业重点领域——新能源汽车（动力电池及关键零部件）与新能源（储能），同时退役锂电池综合回收利用契合绿色制造与资源再生利用方向，政策方向匹配度极高。,23,业务涵盖锂资源提取、锂盐深加工、金属锂冶炼等关键材料环节以及电池制造与回收技术研发，涉及新材料、动力电池核心材料及资源再生利用技术，属于政策强调的关键核心技术与产业基础再造范畴，技术含量高。,23,公司处于新能源汽车与储能产业链的上游锂资源及关键材料核心环节，同时向中游电池制造延伸并布局回收闭环，是动力电池产业链中不可替代的关键原材料供应方，产业链地位核心。,21,在新能源汽车渗透率提升、储能规模化发展及资源循环利用政策持续加码的背景下，锂资源与锂电池材料需求具备长期政策红利空间；但行业具有周期性波动特征，故略作扣减。
688009,91,高度契合,公司主营业务轨道交通控制系统属于国家政策明确支持的高端装备制造和先进轨道交通装备领域，处于产业链核心环节，政策契合度高。,"先进轨道交通装备, 高端装备制造, 重大技术装备, 智能交通, 全产业链竞争力",success,25,主营业务轨道交通控制系统直接属于“十四五”规划明确支持的高端装备制造中的先进轨道交通装备，同时属于重大技术装备领域，政策方向高度匹配。,22,业务涉及通信、信号、电力、自动控制等轨道交通核心关键技术，属于政策强调的关键核心环节，但并非前沿数字技术如芯片、人工智能。,24,轨道交通控制系统是高铁、地铁等先进轨道交通装备的核心系统，处于产业链关键核心位置。,20,政策持续支持先进轨道交通装备及重大技术装备全产业链竞争力提升，并推动智能交通、智慧城轨发展，未来政策红利空间较大。
000100,91,高度契合,公司主营业务集中于半导体显示、新能源光伏和半导体材料，与国家新能源、集成电路、新材料及数字经济政策方向高度契合，政策红利空间较大。,"集成电路, 半导体材料, 新能源, 光伏发电, 新材料, 核心电子元器件",success,24,主营业务中的新能源光伏直接对应政策明确支持的新能源方向，半导体材料直接对应集成电路和新材料方向，半导体显示可归入数字经济中的核心电子元器件，整体高度契合国家产业政策重点支持方向。,22,新能源光伏、半导体材料和半导体显示均属于技术密集型领域，涉及政策强调的关键核心技术创新、半导体材料、新能源技术及核心电子元器件等环节。,22,半导体材料处于集成电路产业链上游关键配套环节，新能源光伏处于新能源产业链核心制造环节，半导体显示处于数字产业核心电子元器件环节，整体产业链地位较重要。,23,政策对新能源、集成电路、新材料和数字经济支持力度大，公司相关业务有望持续受益于产业政策红利和国产化替代趋势。
002812,91,高度契合,公司锂电隔膜业务属于新能源汽车关键零部件，高度契合国家产业政策，无菌包装业务为辅助，整体契合度高。,"新能源汽车, 动力电池, 关键零部件, 新材料, 功能性材料",success,24,锂离子电池隔膜属于新能源汽车动力电池关键零部件，直接对应政策明确支持的新能源汽车战略性新兴产业方向；无菌包装属于消费品工业，政策亦鼓励改造升级。,22,锂电隔膜技术壁垒高，涉及高分子材料、微孔制备等关键工艺，属于新材料和关键零部件技术范畴，符合政策对关键核心技术创新应用的要求。,23,隔膜是锂离子电池四大主材之一，处于动力电池产业链核心环节，对电池性能和安全至关重要，政策重点支持动力电池及关键零部件。,22,在新能源汽车和储能政策大力推动下，动力电池需求持续增长，隔膜作为关键材料市场空间广阔，政策红利明显。
603259,91,高度契合,公司主营业务高度契合国家生物医药与创新药产业政策方向，作为新药研发生产服务商处于产业链关键配套环节，具备较强政策契合度。,"生物医药, 创新药, 生物经济",success,23,公司主营新药研发和生产服务，属于生物医药与创新药产业生态的重要环节，直接服务于政策明确优先支持的生物医药方向。,23,业务覆盖化学、测试、生物学等新药研发生产关键环节，契合政策对创新药、生物经济及医药核心技术研发的支持导向。,22,公司处于创新药产业链的研发与生产核心配套环节，是支撑药企研发创新和产业化的重要赋能平台，但并非终端药品开发主体。,23,在政策做大做强生物经济、支持创新药发展的背景下，医药研发生产外包服务需求有望持续提升，政策红利空间较大。
300529,91,高度契合,公司主营高端血液净化医疗器械与生物材料，高度契合国家生物医药、高端医疗器械和生物材料产业政策方向。,"生物医药, 高端医疗器械, 生物材料, 战略性新兴产业",success,24,公司主营血液灌流器、血浆吸附器、血液净化设备等高端医疗器械及生物材料，直接对应“十四五”规划中生物医药、高端医疗器械、生物材料等明确支持方向。,22,产品涉及血液净化、生物材料、吸附材料及医疗器械研发制造，属于高端医疗器械和生物材料技术领域，技术含量较高，但与基因治疗、细胞治疗等前沿生物技术相比偏应用端。,22,公司处于血液净化医疗器械产业链的核心制造环节，覆盖耗材、设备及相关管路产品，是高端医疗器械国产化和生物材料产业化的重要参与者。,23,在政策支持高端医疗器械、生物材料及生物经济做大做强的背景下，叠加老龄化、慢性肾病等需求增长，公司业务具备较好的政策红利和国产替代空间。
